timestamps,departure_terminal,arrival_terminal,scheduled_departure,actual_departure,Actual_Arrival,TransitTime,seconds_late
2013-11-12 19:10:00,Bainbridge,Colman,10:00.0,15:02.0,49:05.0,34.0,302.0
2013-11-12 20:10:00,Bainbridge,Colman,10:00.0,10:57.0,41:04.0,31.0,57.0
2013-11-12 20:55:00,Bainbridge,Colman,55:00.0,55:00.0,29:31.0,34.0,0.0
2013-11-12 21:45:00,Bainbridge,Colman,45:00.0,46:16.0,17:22.0,31.0,76.0
2013-11-12 22:35:00,Bainbridge,Colman,35:00.0,36:37.0,07:03.0,31.0,97.0
2013-11-13 00:55:00,Bainbridge,Colman,55:00.0,55:06.0,28:47.0,33.0,6.0
2013-11-13 04:45:00,Bainbridge,Colman,45:00.0,45:51.0,16:44.0,31.0,51.0
2013-11-13 05:20:00,Bainbridge,Colman,20:00.0,21:03.0,47:06.0,26.0,63.0
2013-11-13 06:20:00,Bainbridge,Colman,20:00.0,21:52.0,53:23.0,32.0,112.0
2013-11-13 07:05:00,Bainbridge,Colman,05:00.0,06:09.0,35:04.0,29.0,69.0
2013-11-13 07:55:00,Bainbridge,Colman,55:00.0,01:23.0,32:42.0,31.0,383.0
2013-11-13 08:45:00,Bainbridge,Colman,45:00.0,45:00.0,15:20.0,30.0,0.0
2013-11-13 09:40:00,Bainbridge,Colman,40:00.0,40:35.0,11:17.0,31.0,35.0
2013-11-13 10:25:00,Bainbridge,Colman,25:00.0,26:15.0,55:17.0,29.0,75.0
2013-11-13 11:30:00,Bainbridge,Colman,30:00.0,30:21.0,59:51.0,29.0,21.0
2013-11-13 12:20:00,Bainbridge,Colman,20:00.0,21:31.0,51:11.0,30.0,91.0
2013-11-13 13:10:00,Bainbridge,Colman,10:00.0,10:00.0,39:18.0,29.0,0.0
2013-11-13 14:05:00,Bainbridge,Colman,05:00.0,05:03.0,35:05.0,30.0,3.0
2013-11-13 14:55:00,Bainbridge,Colman,55:00.0,55:35.0,26:09.0,31.0,35.0
2013-11-13 15:50:00,Bainbridge,Colman,50:00.0,50:00.0,20:12.0,30.0,0.0
2013-11-13 16:35:00,Bainbridge,Colman,35:00.0,36:07.0,06:04.0,30.0,67.0
2013-11-13 17:30:00,Bainbridge,Colman,30:00.0,32:08.0,03:25.0,31.0,128.0
2013-11-13 18:30:00,Bainbridge,Colman,30:00.0,30:00.0,01:09.0,31.0,0.0
2013-11-13 19:10:00,Bainbridge,Colman,10:00.0,14:15.0,48:13.0,34.0,255.0
2013-11-13 20:10:00,Bainbridge,Colman,10:00.0,10:00.0,42:25.0,32.0,0.0
2013-11-13 20:55:00,Bainbridge,Colman,55:00.0,55:00.0,22:57.0,27.0,0.0
